,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
724,Panama Petrochem,252.5,6.56,1530.19,0.79,61.92,235.61,563.32,73.17,33.95,135.35,27.23,15.47
725,Sandhar Tech,253.2,16.42,1523.41,0.89,21.17,9.12,618.34,23.86,8.64,57.19,7.3,3.87
726,C P C L,101.6,,1511.49,0.0,61.05,-79.08,8856.06,81.68,16.06,257.26,12.4,1.9
727,Nureca,1501.6,29.02,1507.49,0.13,5.49,-79.5,46.91,-48.97,66.84,46.53,52.2,42.35
728,Aptech,364.55,53.48,1501.16,0.62,11.31,514.67,33.94,73.34,6.02,12.26,5.76,4.36
729,Shalby,139.0,26.04,1500.24,0.72,10.79,-55.91,181.62,57.08,6.83,42.4,5.19,4.31
730,Gravita India,216.4,15.59,1493.99,0.51,36.95,221.3,546.49,61.03,19.7,52.48,21.24,8.48
731,GOCL Corpn.,298.05,21.49,1479.51,0.67,2.12,-87.86,121.87,26.12,6.53,78.67,7.58,3.32
732,Kirloskar Indus.,1513.85,5.33,1476.55,0.66,76.0,76.17,985.2,98.04,23.73,163.71,11.78,11.31
733,Welspun Enterp,98.25,11.54,1459.93,1.53,22.27,-26.6,302.71,-12.86,9.2,128.98,7.9,3.3
734,Nucleus Soft.,501.35,21.82,1456.69,1.8,8.58,-70.87,114.12,-16.69,21.6,102.23,16.58,12.41
735,Ramky Infra,210.05,7.72,1453.5,0.0,48.43,218.61,258.77,44.75,9.29,19.56,5.92,0.41
736,Shivalik Bimetal,375.3,33.03,1443.96,0.16,13.55,156.63,76.23,54.56,23.27,25.4,19.94,13.25
737,Pricol Ltd,118.25,33.19,1441.87,0.0,14.67,-70.38,407.13,4.42,14.66,41.56,9.01,3.24
738,Indo Rama Synth.,54.3,5.28,1427.19,0.0,51.73,470.29,972.82,106.25,11.46,124.6,44.86,7.84
739,NACL Industries,71.0,21.58,1409.62,0.56,24.38,30.3,442.85,28.67,16.58,51.34,13.27,5.32
740,Nitin Spinners,249.3,6.48,1402.76,0.6,87.39,657.38,664.66,55.7,10.96,68.58,12.97,4.13
741,Ramco Systems,455.45,409.52,1400.57,0.0,-12.9,-177.2,140.71,-11.96,15.88,55.82,8.88,5.91
742,Asian Star Co.,870.9,14.03,1394.31,0.17,29.58,105.27,1152.79,132.35,2.77,52.01,4.38,2.55
743,Sanghi Industrie,55.4,14.66,1389.33,0.0,4.45,7.75,211.35,22.99,6.13,80.36,4.58,2.29
744,Ugro Capital,196.25,107.49,1386.6,0.0,3.38,-80.33,61.7,77.2,3.92,28.73,3.07,1.94
745,HSIL,213.9,12.51,1383.54,1.87,30.41,-16.62,546.21,28.11,8.67,89.96,7.22,3.14
746,Gallantt Ispat,49.3,9.76,1376.42,0.0,10.62,-14.56,303.46,37.19,10.16,123.41,11.45,8.7
747,Yasho Industries,1206.4,34.29,1375.2,0.04,13.73,334.49,134.38,53.51,20.17,21.48,31.49,7.37
748,Grauer & Weil,60.65,14.99,1372.67,0.82,17.89,32.32,169.58,32.35,18.62,66.13,13.79,9.5
749,Kalyani Steels,317.85,5.12,1372.6,2.36,61.79,36.25,460.81,43.15,22.56,190.28,17.9,12.46
750,Honda India,1341.45,18.87,1357.21,0.75,15.9,-18.42,230.87,-6.74,11.21,48.11,8.19,6.36
751,DFM Foods,268.7,245.09,1352.91,0.37,-3.13,-130.33,147.12,4.14,20.01,28.7,17.77,7.44
752,Bodal Chemicals,110.3,12.85,1350.97,0.73,25.23,117.13,469.71,51.65,5.6,41.98,4.51,2.49
753,Insecticid.India,661.35,12.9,1348.98,0.3,41.88,0.65,443.94,-2.61,14.78,101.41,13.07,7.46
